disease_name,cure_method,cure_department,cure_probability
小儿黄疸肝脏色素沉着综合征,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",40%
急性硫化氢中毒,"['对症治疗', '药物治疗', '支持治疗']",['急诊科'],70%
小儿回盲肠综合征,"['药物治疗', '手术治疗', '支持性治疗', '康复治疗']","['儿科', '儿科综合']",50%
胆道结石,"['手术治疗', '支持治疗']","['外科', '肝胆外科']",30%
毒鱼刺伤,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",85%
小儿蛔虫性肠梗阻,"['手术治疗', '支持性治疗']","['儿科', '小儿外科']",70-80%
杜波组织胞浆菌病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",55%
耳外伤,"['手术治疗', '药物治疗']","['五官科', '耳鼻喉科']",70--100%
短P-R综合征,"['药物治疗', '支持性治疗']","['内科', '心内科']",80%
椎体骨软骨病,"['药物治疗', '支持性治疗']","['外科', '骨外科']",80%
小儿混合性结缔组织病,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",40%-50%
短肠综合征,"['营养支持', '肠康复治疗', '手术治疗', '小肠移植']","['外科', '普外科']",65%
耳硬化症,['镫骨手术治疗为主。'],"['五官科', '耳鼻喉科']",75%
小儿获得性免疫缺陷综合征,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",10%
短骨骨干结核,"['手术治疗', '药物治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",60%
鼻窦粘膜囊肿,['依据囊肿部位、大小、临床症状严重程度、身体状况择期手术'],"['五官科', '耳鼻喉科']",多数经手术治疗完全痊愈，少部分病例有复发
小儿获得性免疫缺陷综合征肾病,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",10%
短腰畸形,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",30-50%
唇腭裂,"['手术治疗', '支持治疗']","['五官科', '口腔科']",80--90%
小儿霍奇金病,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",经过系统治疗后70%可以稳定病情甚至治愈
短暂性大脑缺血性发作,"['药物治疗', '支持性治疗']","['内科', '神经内科']",70%
发育迟缓,"['病因治疗', '支持性治疗']","['内科', '内分泌科']",50%
小儿肌阵挛性癫痫,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",30%
短暂性棘皮松解皮肤病,"['药物治疗', '物理治疗']","['皮肤性病科', '皮肤科']",65%
鼻窦粘液囊肿,"['药物治疗', '康复治疗']","['五官科', '耳鼻喉科']",70%
小儿基底细胞痣综合征,"['手术治疗', '对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",40-60%
飞蚊症,"['药物治疗', '中医治疗', '激光或手术治疗']","['五官科', '眼科']",20-50%
小儿吉兰-巴雷综合征,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",40%
法洛三联症,"['手术治疗', '支持治疗']","['外科', '心胸外科']",50%
小儿急进性肾小球肾炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",75%-85%
对称性进行性红斑角化症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",75%
肺动脉瓣关闭不全,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",91%
小儿急性播散性脑脊髓炎,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",57%-94%
小儿急性肠系膜淋巴结炎,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",92%
反流性肾病,"['药物治疗', '康复治疗']","['内科', '肾内科']",90%
多巴反应性肌张力障碍,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",对症治疗为主，无法根治
小儿急性出血性坏死性肠炎,"['药物治疗', '支持治疗']","['儿科', '小儿外科']",80%
肺动脉闭锁,"['手术治疗', '康复治疗', '支持性治疗']","['内科', '心内科']",91%
多发性斑状色素沉着症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
小儿急性非淋巴细胞性白血病,['对症支持治疗、联合化疗、免疫治疗、造血干细胞移植、细胞因子治疗、去甲基化治疗、诱导分化及促凋亡治疗'],"['儿科', '小儿内科']",20-85%
小儿急性横贯性脊髓炎,"['药物治疗', '康复治疗', '支持性治疗']","['儿科', '小儿内科']",25%
多发性肌炎-皮肌炎,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",60%
反射性晕厥,"['药物治疗', '支持性治疗']","['内科', '神经内科']",60%-80%
多房棘球蚴病,"['药物治疗', '支持性治疗']","['内科', '消化内科']",60%
小儿急性喉气管支气管炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",93%
麻黄碱中毒,"['药物治疗', '支持性治疗']",['急诊科'],83%
肺静脉异位引流,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",80%
多睾症,"['手术治疗', '支持性治疗']",['男科'],80%
小儿急性呼吸衰竭,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",85%
多骨纤维发育不良,"['支持性治疗', '外科治疗']","['外科', '骨外科']",60%
小儿急性化脓性关节炎,"['支持治疗', '康复治疗']","['儿科', '小儿外科']",85%
马桑果中毒,"['药物治疗', '支持性治疗']",['急诊科'],40%
房事两感症,"['中医治疗', '支持性治疗']","['中医科', '中医综合']",70%
曼陀罗中毒,"['及时洗胃，药物治疗', '支持性治疗']",['急诊科'],80%
多杀巴斯德杆菌病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",90%
小儿急性化脓性甲状腺炎,"['药物治疗', '手术治疗', '支持治疗']","['儿科', '小儿外科']",75-80%
小儿急性间歇性卟啉病,"['药物治疗', '康复治疗']","['儿科', '小儿内科']",60%
多肾盏畸形,"['手术治疗', '支持性治疗']","['外科', '泌尿外科']",70%
锰中毒,"['药物治疗', '支持性治疗']",['急诊科'],75%
多系统器官功能衰竭,"['药物治疗', '对症治疗', '支持性治疗']",['急诊科'],65%
灭虫灵中毒,"['药物治疗', '支持治疗']",['急诊科'],70-80%
小儿急性偏瘫,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",70%
鼻前颅底肿瘤,"['手术治疗', '药物治疗', '支持性治疗']","['五官科', '耳鼻喉科']",10%，易复发
木薯中毒,"['药物治疗', '对症治疗', '支持性治疗']",['急诊科'],70%
小儿急性气管支气管炎,"['药物治疗', '支持治疗', '中医治疗']","['儿科', '小儿内科']",治愈率99.3%
多系统萎缩,"['无特异性治疗方法', '药物治疗', '康复治疗']","['内科', '神经内科']",65%
鼻骨瘤,"['手术治疗', '药物治疗', '康复治疗']","['五官科', '耳鼻喉科']",70%
慢性铅中毒,"['药物治疗', '支持治疗', '康复治疗']",['内科'],75%
多源性房性心动过速,"['药物治疗', '支持性治疗']","['内科', '心内科']",30%
房室交界区性逸搏,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%
棉子中毒,"['药物治疗', '支持性治疗']",['急诊科'],80%
多灶性脉络膜炎伴全葡萄膜炎,"['药物治疗', '支持性治疗']","['五官科', '眼科']",80%
小儿急性上呼吸道感染,['药物治疗'],"['儿科', '小儿内科']",95%
淋巴管平滑肌瘤,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",20-40%
拟除虫菊类农药中毒,['对症支持治疗'],['急诊科'],根据情况一般为80%
小儿急性髓样白血病,"['药物治疗', '骨髓移植', '支持治疗']","['儿科', '小儿内科']",40%，骨髓移植治愈率可达70%
多灶性运动神经病,"['药物治疗', '康复治疗']","['内科', '神经内科']",75%
胆道肿瘤,"['手术治疗', '支持性治疗']","['外科', '肝胆外科']",40%
小儿急性胃炎,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",80%
多指畸形,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",99%
鼻源性头痛,['手术治疗'],"['五官科', '耳鼻喉科']",60%
小儿急性小脑性共济失调,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",85%
多中心性网状组织细胞增生症,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",80%
粉碎性骨折,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",85%
Ⅱ型免疫母细胞性淋巴腺病,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",40%
小儿急性血行播散型肺结核,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",80%
胆道癌,"['手术治疗', '支持性治疗']","['外科', '肝胆外科']",20-40%
EB病毒感染,"['中医治疗', '支持性治疗']",['传染科'],65%
风湿性疾病,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",80%
小儿急性血源性骨髓炎,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",60%
鼻中隔血肿及脓肿,"['药物治疗', '康复治疗']","['五官科', '耳鼻喉科']",60-80%
额外肾,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '泌尿外科']",95%
小儿急性中毒性脑病,"['药物治疗', '支持治疗']",['急诊科'],80%
非器质性冷阴,"['心理治疗', '药物治疗']","['妇产科', '妇科']",60%
额叶癫痫,"['手术治疗', '药物治疗', '康复治疗']","['外科', '神经外科']",30%
恶心和呕吐,"['药物治疗', '康复治疗']","['内科', '消化内科']",80%
腹股沟疝,"['手术治疗', '支持治疗']","['外科', '普外科']",80%
鼻肿瘤,"['药物治疗', '康复治疗']","['五官科', '耳鼻喉科']",80%
小儿脊髓前动脉综合征,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",75%
胆管炎性狭窄,"['药物治疗', '支持性治疗']","['外科', '肝胆外科']",90%
恶性高血压,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%-70%
小儿脊髓损伤,"['手术治疗', '支持治疗', '康复治疗']","['儿科', '小儿外科']",75%
非器质性性乐高潮障碍,"['心理治疗', '药物治疗']",['心理科'],65%
小儿脊髓性肌萎缩,"['康复治疗', '支持治疗', '心理治疗']","['儿科', '儿科综合']",85%
恶性高血压视网膜病变,"['药物治疗', '支持性治疗']","['五官科', '眼科']",0.001%
腹膜肿瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",40%
小儿脊柱裂,"['手术治疗', '药物治疗', '康复治疗']","['儿科', '小儿外科']",10%
恶性蓝痣,"['手术治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60-70%
小儿鼻炎,"['对症治疗', '药物治疗', '支持性治疗']","['五官科', '耳鼻喉科']",98%
小儿继发性腹膜炎,"['手术治疗', '支持治疗']","['儿科', '小儿外科']",80%
恶性脑膜瘤,"['药物治疗', '手术治疗']","['外科', '神经外科']",60%
小儿继发性免疫缺陷病,"['对症治疗', '药物治疗', '支持治疗']","['儿科', '小儿内科']",无法彻底根治
恶性萎缩性丘疹病,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%
恶性小汗腺螺旋腺瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",70%
肝病,"['药物治疗', '支持性治疗', '手术治疗']",['肝病'],30%
恶性胸腔积液,"['药物治疗', '支持性治疗']","['外科', '心胸外科']",85%
非器质性性欲减退,"['心理治疗', '药物治疗']",['心理科'],50%
恶性血管内皮细胞瘤,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",30%
肝破裂,"['药物治疗', '支持性治疗']",['肝病'],60%
恶性营养不良病,['调整饮食、补充优质蛋白质为主；同时积极去除病因，积极防治并发症'],['营养科'],90%
高甘油三酯血症,['药物治疗，低脂饮食，运动。'],"['内科', '内分泌科']",85%
恶性肿瘤所致贫血,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",65%
小儿继发性免疫性血小板减少性紫癜,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",650%
胆脂瘤型中耳炎,"['药物治疗', '支持性治疗']","['五官科', '耳鼻喉科']",84%
小儿继发性血小板增多症,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",85%
过敏性结膜炎,"['药物治疗', '支持性治疗']","['五官科', '眼科']",86%-95%
泌尿生殖系损伤,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '泌尿外科']",98%
小儿加压素分泌过多综合征,"['对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",55%
鳄皮婴儿综合征,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",不足5%，通常生后不久夭折
高胰岛素血症,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",25%
小儿家族性低血磷性佝偻病,"['对症治疗', '药物治疗', '支持治疗']","['儿科', '小儿内科']",50-70%
小儿家族性非溶血性黄疸综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",60%
胆总管囊肿,"['手术治疗', '支持性治疗']","['儿科', '小儿外科']",90%
二度房室传导阻滞,"['药物治疗', '支持性治疗']","['内科', '心内科']",65%
小儿家族性复发性血尿综合征,"['对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",80%
过敏性皮炎,"['药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",60%
小儿家族性嗅神经-性发育不全综合征,"['对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",对症治疗为主
小儿家族性自主神经失调综合征,"['对症治疗', '药物治疗', '康复治疗']","['儿科', '小儿内科']",
闭锁综合征,['早期治疗原发病，预防并发症，后期以康复治疗和支持性治疗为主'],"['内科', '神经内科']",85%
小儿甲基丙二酸血症,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",无法治愈
二尖瓣、主动脉瓣和三尖瓣的合并疾患,"['药物治疗', '手术治疗']","['内科', '心内科']",治愈率83%
咳嗽,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%(小部分发展成为慢性咳嗽而迁延不愈)
小儿甲状旁腺功能减退症,"['药物治疗', '手术治疗', '对症治疗', '支持性治疗']","['儿科', '小儿内科']",95%
二尖瓣闭锁不全,"['药物治疗', '手术治疗']","['内科', '心内科']",治愈率81%
扁桃体癌,"['放射治疗', '手术治疗', '药物治疗']","['肿瘤科', '肿瘤内科']",5年生存率32.4－83%
小儿甲状腺癌,"['手术治疗', '对症治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",69%
跟腱断裂,"['手术治疗', '康复治疗']","['外科', '骨外科']",90%
小儿甲状腺功能亢进症,"['手术治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",70%
颈部水囊瘤,"['药物治疗', '手术治疗']","['肿瘤科', '肿瘤内科']",75%
小儿贾第虫病,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",60--80%
二氧化氮中毒,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",80%
红斑型天疱疮,"['药物治疗', '支持性治疗']","['中医科', '中医综合']",80%
小儿假肥大型肌营养不良,"['药物治疗', '支持治疗', '手术治疗', '康复治疗']","['儿科', '儿科综合']",30%
二氧化硫中毒,"['药物治疗', '支持性治疗']",['急诊科'],80%
颈动脉盗血综合征,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%
小儿假膜性肠炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",80%
淋巴癌,"['药物治疗', '手术治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",10%(系统治疗后患者5年生存率达到80%)
虹膜囊肿,"['药物治疗', '支持性治疗', '手术治疗']","['五官科', '眼科']",95%
小儿假性甲状旁腺功能减低症,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",90%
颞叶癫痫,"['手术治疗', '药物治疗', '康复治疗']","['外科', '神经外科']",70%
小儿假性粒细胞减少症,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",86%
发疱性甲虫皮炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",75%
黄斑前膜,"['药物治疗', '支持性治疗']","['五官科', '眼科']",80-90%
小儿尖端扭转型室性心动过速,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",60-80%
颈肩痛,"['支持性治疗', '康复治疗']","['外科', '骨外科']",90%
发疹性毳毛囊肿,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",75%
小儿尖头并指趾综合征,"['手术治疗', '康复治疗', '支持治疗']","['儿科', '小儿外科']",60-80%
发作性嗜睡强食综合征,"['药物治疗', '支持性治疗']",['精神科'],70%
小儿结核性胸膜炎,['抗结核治疗，胸腔抽液，支持治疗，必要时手术治疗'],['传染科'],80%
发作性睡病,"['药物治疗', '支持性治疗']",['精神科'],50%
虹膜炎,"['药物治疗', '支持性治疗', '中医治疗']","['五官科', '眼科']",40-60%
小儿结节病,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",30%
反射性交感神经营养不良综合征,"['药物治疗', '支持性治疗']","['外科', '骨外科']",30%
小儿结节性多动脉炎,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",95%
反射性躯体神经病,"['药物治疗', '康复治疗']","['内科', '神经内科']",30%
蛋白尿,"['药物治疗', '康复治疗']","['内科', '肾内科']",75%
躯体性神经病,"['心理治疗', '药物治疗']","['外科', '普外科']",85%
小儿结节性甲状腺肿,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",65%
颈内动脉海绵窦瘘,['手术治疗'],"['内科', '神经内科']",80%
小儿结节性硬化症,['对症治疗'],"['儿科', '儿科综合']",
喉插管损伤,"['药物治疗', '物理治疗', '手术治疗']","['五官科', '耳鼻喉科']",85%
小儿结节性硬化综合征,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",60%
反向斜视,"['药物治疗', '支持性治疗', '手术治疗']","['五官科', '眼科']",60%
反应性穿孔性胶原病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",65%
小儿结节性脂膜炎,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",60%
反应性浆细胞增多症,"['药物治疗', '支持性治疗']","['内科', '血液科']",55%
小儿结膜吸吮线虫病,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",30%
体温过低,"['药物治疗', '支持性治疗']",['急诊科'],60%
肌腱炎,"['手术治疗', '支持治疗', '康复治疗']","['外科', '骨外科']",40-60%
泛发性扁平黄色瘤,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
小儿近端肾小管酸中毒,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",75%
喉刺伤,"['手术治疗', '支持治疗']","['五官科', '耳鼻喉科']",80%
泛发性毛囊错构瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",40%
小儿进行性骨干发育不良,"['对症治疗', '药物治疗', '支持治疗']","['儿科', '儿科综合']",50%
倒睫,"['药物治疗', '支持性治疗']","['五官科', '眼科']",外科激光治疗，治愈率约为85-90%
泛发性特发性毛细血管扩张,"['药物治疗', '支持性治疗']","['外科', '普外科']",40%
肌纤维组织炎,"['支持性治疗', '康复治疗']","['外科', '骨外科']",98%
范科尼综合征,"['药物治疗', '支持性治疗']","['内科', '肾内科']",40%
小儿进行性骨化性肌炎,"['支持治疗', '康复治疗']","['儿科', '儿科综合']",30%
功能性聋,['心理治疗、暗示治疗'],"['五官科', '耳鼻喉科']",多数经心理治疗迅速恢复，少数有复发
房间隔缺损,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",82%
小儿颈交感神经麻痹综合征,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",40-60%
房室交接区逸搏和逸搏心律,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",50%
喉淀粉样变,['手术切除为主'],"['五官科', '耳鼻喉科']",目前无特效治疗药物，手术切除为主，易复发，治愈率低
小儿颈椎融合综合征,"['支持治疗', '康复治疗']","['儿科', '儿科综合']",40%
房室结折返性心动过速,"['药物治疗', '支持性治疗']","['内科', '心内科']",80%
宫颈癌前病变,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",60%
小儿巨大膀胱-巨大输尿管综合征,"['手术治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",78%
房室折返性心动过速,"['药物治疗', '支持性治疗']","['内科', '心内科']",75%
小儿巨大血小板综合征,"['手术治疗', '对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",
宫颈湿疣,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",治愈率在96%以上
小儿巨脑畸形综合征,"['药物治疗', '手术治疗', '支持性治疗']","['儿科', '小儿外科']",30%
低血容量性休克,['支持治疗'],['急诊科'],80%
骶管囊肿,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '神经外科']",80%(外科手术治疗)
小儿巨细胞病毒肺炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",60%-70%
肌强直性肌病,"['药物治疗', '支持性治疗', '康复治疗']","['内科', '神经内科']",60%
房性期前收缩,"['药物治疗', '支持性治疗']","['内科', '心内科']",85%
小儿巨幼细胞性贫血,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",75%
小儿军团病,"['药物治疗', '对症治疗', '支持性治疗']","['儿科', '儿科综合']",95%
房性心动过速伴房室传导阻滞,"['药物治疗', '支持性治疗']","['内科', '心内科']",70%
小儿军团病肾病,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",80%
股神经痛,"['药物治疗', '对症治疗', '康复治疗', '支持性治疗']","['内科', '神经内科']",60%
小儿卡肺囊虫肺炎,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",70%
房性逸搏和房性逸搏心律,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%
喉火器伤,"['康复治疗', '支持性治疗']","['五官科', '耳鼻喉科']",60%
小儿卡斯钦-贝克病,"['药物治疗', '对症治疗', '中医治疗', '手术治疗', '支持性治疗']","['儿科', '儿科综合']",55%
放射性甲状腺炎,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '内分泌科']",以控制甲状腺素水肿治疗为主，无法痊愈
股外侧皮神经病,"['中医治疗', '康复治疗', '支持性治疗']","['内科', '神经内科']",70%
小儿抗利尿激素分泌异常综合征,"['药物治疗', '对症治疗', '支持性治疗']","['儿科', '儿科综合']",20%
放射性皮炎,"['药物治疗', '支持性治疗', '中医治疗']","['皮肤性病科', '皮肤科']",60%
原发性膀胱输尿管返流,"['药物治疗', '康复治疗']","['外科', '泌尿外科']",90%
喉角化症,"['中医治疗', '药物治疗', '康复治疗', '手术治疗']","['五官科', '耳鼻喉科']",60%
放射性肾炎,"['药物治疗', '支持性治疗', '手术治疗']","['其他科室', '康复科']",30%
小儿抗磷脂综合征,"['药物治疗', '对症治疗', '介入治疗', '支持性治疗']","['儿科', '儿科综合']",75%
骨裂,"['支持性治疗，', '康复治疗，手术治疗']","['外科', '骨外科']",80%
放射性食管炎,"['对症治疗', '中医治疗', '药物治疗', '康复治疗']","['内科', '消化内科']",65%
放射性视网膜病变,"['手术治疗', '药物治疗', '支持性治疗']","['五官科', '眼科']",50%-60%
小儿克罗恩病,"['药物治疗', '对症治疗', '手术治疗', '康复治疗']","['儿科', '小儿内科']",40%
喉结核,"['药物治疗', '支持性治疗']","['五官科', '耳鼻喉科']",95%
放射性心包炎,"['药物治疗', '中医治疗', '支持性治疗']","['内科', '心内科']",60%
小儿克山病,"['药物治疗', '对症治疗', '支持性治疗']","['儿科', '儿科综合']",30%
骨缺损,"['支持性治疗', '康复治疗', '手术治疗']","['外科', '骨外科']",60%
放射性心脏损害,"['药物治疗', '支持性治疗', '对症治疗', '放射治疗']","['内科', '心内科']",治愈率80%
小儿空鞍综合征,"['药物治疗', '对症治疗', '支持性治疗']","['儿科', '儿科综合']",55%
放射性周围神经病,"['中医治疗', '康复治疗', '支持性治疗']","['内科', '神经内科']",30%
急腹症,"['手术治疗', '支持治疗', '对症处理']","['内科', '消化内科']",治愈率90%
非闭塞性肠系膜血管缺血,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",65%
小儿库欣综合征,"['手术治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",50%
骨软骨病,"['手术治疗', '支持治疗']","['外科', '骨外科']",80%
非哺乳期乳晕部瘘管,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",75%-85%
动脉粥样硬化,"['手术治疗', '中西医结合药物治疗']","['内科', '心内科']",80%
小儿狂犬病,"['对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",
非典型麻疹综合征,"['药物治疗', '康复治疗']","['皮肤性病科', '皮肤科']",药物治疗支持性治疗
急性肠炎,"['药物治疗', '支持治疗']","['内科', '消化内科']",99%
小儿溃疡性结肠炎,"['药物治疗', '对症治疗', '支持治疗', '中医中药']","['儿科', '儿科综合']",85%
非典型纤维黄色瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",65%
喉粘液囊肿,"['支持性治疗', '康复治疗', '手术治疗']","['五官科', '耳鼻喉科']",60%
小儿扩张型心肌病,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",需要终身治疗，目前不能治愈
骨髓增生性疾病,"['药物治疗', '支持治疗', '手术治疗']","['外科', '骨外科']",40-50%
非结核分枝杆菌病,['抗结核药物药物治疗、手术治疗、支持性治疗'],"['内科', '呼吸内科']",无相关数据
小儿莱施-尼汉综合征,"['药物治疗', '支持治疗', '康复治疗']","['儿科', '儿科综合']",80%
急性根尖周炎,"['手术治疗', '药物治疗']","['五官科', '口腔科']",98%治愈率
非结核分枝杆菌性角膜炎,"['药物治疗', '支持性治疗']","['五官科', '眼科']",60%
小儿赖氏综合征,"['对症治疗', '药物治疗', '支持性治疗']","['儿科', '儿科综合']",30%
非结核性分枝杆菌病,"['药物治疗', '康复治疗', '手术治疗']",['传染科'],75%
小儿赖特综合征,"['药物治疗', '对症治疗', '支持性治疗']","['儿科', '儿科综合']",99%
非结核性分枝杆菌关节炎,"['支持性治疗', '康复治疗', '中医治疗']","['外科', '骨外科']",70%
小儿蓝尿布综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",40%
骨损伤,"['手术治疗', '药物治疗', '康复治疗']","['外科', '骨外科']",95%
非肾上腺素增生性假两性畸形,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '泌尿外科']",20--30%
小儿郎格罕细胞性组织细胞增生症,"['药物治疗', '放射治疗', '支持性治疗']","['儿科', '小儿内科']",50%
喉纤维瘤,"['手术治疗', '药物治疗', '支持治疗']","['五官科', '耳鼻喉科']",60%
小儿狼疮肾炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",20%
关节扭伤,"['支持治疗', '康复治疗']","['外科', '骨外科']",80%
非梭状芽胞杆菌肌坏死,"['对症治疗', '药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40%
小儿类白血病反应,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",50%
急性脑血管病,"['病因治疗', '手术治疗', '药物治疗', '支持治疗']","['内科', '神经内科']",25%
非特异性间质肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",93%
小儿利斯特菌病,"['药物治疗', '中医治疗', '支持性治疗']","['儿科', '小儿内科']",30%
喉切伤,"['手术治疗', '药物治疗', '支持治疗']","['五官科', '耳鼻喉科']",60%
非性病性梅毒,"['药物治疗', '支持性治疗']",['传染科'],80%
小儿良性先天性肌弛缓综合征,"['药物治疗', '康复治疗']","['儿科', '小儿内科']",65%-80%
中暑痉挛,"['药物治疗', '支持性治疗']",['急诊科'],98%
关节痛,"['支持性治疗', '康复治疗']","['外科', '骨外科']",60-80%
非甾体类抗炎药物性肾病,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '肾内科']",40-50%
小儿两性畸形,['手术治疗，激素替代治疗'],"['儿科', '小儿外科']",30%
急性上呼吸道感染,"['休息', '解热镇痛、抗组胺、镇咳等对症药物', '抗病毒药物治疗']","['内科', '呼吸内科']",100%
非阵发性窦性心动过速,"['药物治疗', '支持性治疗']","['内科', '心内科']",75-85%
小儿淋巴细胞间质性肺炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",75%
小儿淋巴样息肉,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",75%
