disease_name,check_method
腋臭,"['汗液电解质检查', '血常规']"
肾性骨病,"['碱性磷酸酶(ALP,AKP)', '血清无机磷', '四肢的骨和关节平片']"
股癣,"['免疫病理检查', '皮损', '涂片']"
小儿特发性室性心动过速,"['血液电解质检查', '多普勒超声心动图', '血液酸碱度（pH）', '血清肌酸激酶', '胸部平片', '心电图', '血清肌酸激酶同工酶（CKI）', '血清肌酸激酶同工酶']"
异位性皮炎,"['被动转移试验', '尿常规', '血常规']"
骨恶性纤维组织细胞瘤,"['CT检查', '核磁共振成像(MRI)', '肿瘤标志物检测', '病理反射检查']"
眼睑闭合不全,['眼科检查']
小儿特发性血小板减少性紫癜,"['骨髓象分析', '骨髓各系细胞形态学检查', '血常规', '血小板相关免疫球蛋白（PAIgG、PAIgA、PAIgM）', '出血时间', '尿常规', '蛋白C', '束臂试验', 'CT检查']"
疣状表皮发育不良,"['免疫病理检查', '细胞组织化学染色', '涂片']"
小儿肾积水,"['尿常规', '肾脏超声检查', '肾脏CT检查', '血常规', '肾功能检查']"
骨神经纤维瘤,"['核磁共振成像(MRI)', '免疫病理检查', '细胞组织化学染色', '肿瘤标志物检测', '血管造影']"
鱼鳞病,"['免疫病理检查', '细胞组织化学染色', '皮损', '涂片']"
小儿铁粒幼红细胞性贫血,"['骨髓红细胞系统', '骨髓象分析', '血常规', '血液生化六项检查', '骨髓各系细胞形态学检查']"
骨嗜酸性肉芽肿,"['白细胞分类计数', '颅骨透照试验', '涂片']"
恶性肿瘤,"['多药耐药（MDR）基因检测', '血清纤维蛋白降解产物测定', '癌症普查', '血管性假血友病因子', 'α2-纤溶酶抑制物活性', '间α胰蛋酶抑制物', '链激酶-链道酶试验', '血清α1-酸性糖蛋白（α1-AG）', '碎裂红细胞', 'p16基因检测（MTS）']"
跖疣,"['皮疹', '皮肤颜色', '皮肤涂片显微镜检查']"
维生素D中毒,"['脂溶性维生素', '维生素D（VitD）', '粪便磷酸盐', '粪钙', '维生素D', '四肢的骨和关节平片']"
骨髓病性贫血,"['涂片', '有核红细胞', '嗜碱性点彩红细胞', '叶酸']"
小儿同型胱氨酸尿症,"['羊水一般检查', '半胱氨酸尿症筛查', '腹部平片', '四肢的骨和关节平片', 'CT检查']"
性高潮障碍,"['不育男性体格检查', '男性生殖内分泌检查']"
骨血管肉瘤,"['免疫病理检查', '细胞组织化学染色', '血管造影', '肿瘤声学造影', '涂片']"
颞下颌关节病,"['颌面部检查', '颌面五官CT检查', '下颌运动检查', '四肢的骨和关节平片']"
小儿铜缺乏症综合征,"['浆细胞', '血常规', '血清铜', '血管造影', '羊水细胞培养']"
分裂情感性精神病,"['脑神经检查', '神经系统检查']"
骨血管外皮细胞瘤,"['肿瘤标志物检测', '肿瘤筛查', '病理反射检查']"
小儿湿疹,['皮肤病的物理检查']
甲状腺功能亢进伴发的精神障碍,"['脑电图检查', '甲状腺摄131碘试验']"
初潮痛经,"['阴道分泌物检查', '子宫输卵管造影', '盆腔和阴道B超']"
物理性皮肤病,['皮肤病的物理检查']
鼓膜穿孔,"['鼓膜', '电测听', '乳突', '耳部检查', '耳镜检查法']"
旅途精神病,['神经系统检查']
小儿透析失衡综合征,"['颅脑CT检查', '心电图', '血常规', '血液电解质检查', 'CT检查']"
神经性贪食症,['神经系统检查']
小儿脱屑性肺炎,"['狼疮细胞试验', '血清免疫蛋白电泳', '大生化检查', '胸部平片', '胸部CT检查', '肺活检', '血常规', '免疫学检测', '肺功能检查']"
冠状动脉瘤,"['胸部透视', '胸部MRI', '胸部CT检查', '心电图', '血管造影', '心脏血管超声检查', '冠状动脉造影']"
眼眶脑膜瘤,"['眼科检查', '眼及眶区CT检查', '眼底荧光血管造影']"
小儿外部性脑积水,"['颅脑超声检查', '颅脑CT检查', '头颅平片', '颅脑MRI检查']"
妄想症,"['颅脑CT检查', '颅脑超声检查', '颅脑MRI检查']"
小儿大肠杆菌肠炎,"['粪细菌培养', '血常规', '便常规']"
冠状动脉异常起源于肺动脉,"['心血管造影', '胸部透视', '二维超声心动图', '心电图']"
性兴奋障碍,['男性性功能测试全面测试']
小儿外源性变应性肺泡炎,"['类风湿因子', '血清免疫球蛋白测定', '尿常规', '胸部平片', '胸部MRI', '胸部CT检查', '血常规', '便常规', '肺功能检查']"
性冷淡,['SW阴茎超声血流检测']
小儿完全性肺静脉异位连接,"['血氧饱和度', '心血管造影', '胸部平片', '多普勒超声心动图', '核磁共振成像(MRI)', '心电图', '造影检查', 'CT检查']"
小儿晚发性维生素K缺乏病,"['尿常规', '维生素K', '维生素K(VitK,VK)', '颅脑超声检查', '颅脑CT检查', '部分凝血活酶时间', '出血时间', '凝血酶原时间（PT）', '血常规', '血小板计数（PLT）']"
妊娠合并获得性免疫缺陷综合征,"['抗艾滋病(AIDS)抗体', '血液分析仪检查', '可提取核抗原（ENA）自身抗体谱带分析']"
冠状动脉异常起源主动脉,"['冠状动脉造影', '二维超声心动图', 'M型超声心动图（ME）', '正电子发射计算机断层扫描(PET)']"
谵妄综合征,"['脑电图检查', '神经系统检查']"
伪聋,"['耳镜检查法', '耳的一般检查法', '听力检查']"
小儿韦格纳肉芽肿,"['血清补体溶解免疫复合物活性', '肾功能检查', '尿常规', '自身免疫抗体检测', '耳鼻咽喉CT检查', '胸部平片', '胸部CT检查', '鼻部放射线检查', '便常规', '血常规']"
管状小汗腺癌,"['免疫病理检查', '细胞组织化学染色', '涂片']"
中暑,"['心血管造影', '胸部CT检查', '血液电解质检查', '肾功能检查', '尿常规']"
佩梅病,"['颅脑CT检查', '颅脑MRI检查', '神经系统检查']"
小儿维生素A缺乏病,"['尿常规', '维生素A结合蛋白（RBP）', '尿液细胞学检查', '血常规', '四肢的骨和关节平片', '角膜检查', '眼科检查']"
小儿维生素C缺乏病,"['尿常规', '尿维生素C', '尿维生素C（VitC）', '维生素C', '维生素C（VitC,Vc）', '胸部平片', '毛细血管脆性试验', '束臂试验', '血常规', '便常规']"
手汗症,"['血常规', '胸部平片']"
甲型H1N1流感,"['周围血白细胞计数及分类检验', '耳、鼻、咽拭子细菌培养']"
光气中毒,"['心电图', '动脉血氧分压(PaO2)']"
小儿维生素D缺乏性佝偻病,"['尿常规', '胸部平片', '维生素', '维生素D', '血常规', '血液生化六项检查', '脊椎平片', '四肢的骨和关节平片']"
头皮撕脱伤,['颅脑CT检查']
鼻/鼻型T/NK细胞淋巴瘤,"['血常规', '尿常规']"
腰椎滑脱,"['四肢的骨和关节平片', '脊椎平片']"
大咯血,"['支气管镜检查', '血常规', '心电图', '便常规', '胸部平片', '胸部CT检查']"
光线性弹力纤维病,"['皮损', '免疫病理检查', '细胞组织化学染色']"
膝关节滑膜皱襞综合征,['四肢的骨和关节平片']
小儿维生素D缺乏性手足搐搦症,"['维生素D', '血清钙', '维生素B6', '血清镁', '胸部平片', '便常规', '胸部CT检查', '尿常规', '血清无机磷', '血常规']"
单纯性肺嗜酸性粒细胞浸润症,"['痰液中细胞分类', '血常规', '胸部平片', '痰液中寄生虫和虫卵']"
光泽苔藓,"['免疫病理检查', '皮损', '细胞组织化学染色']"
小儿维生素E缺乏病,"['维生素E', '脂溶性维生素', '骨髓各系细胞形态学检查', '溶血试验', '血常规', '骨髓象分析', '尿常规', '血液生化六项检查', '便常规', '涂片']"
感染性腹主动脉瘤,"['腹部CT', '腹部MRI检查', '腹部透视']"
广泛性焦虑障碍,['神经系统检查']
小儿维斯科特-奥尔德里奇综合征,"['胸部平片', '脾脏超声检查', '骨髓淋巴细胞系统', '肝脏超声检查', 'CT检查']"
未分化脊柱关节病,"['骨与关节MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片']"
小儿胃肠道异物及异物性肠梗阻,"['纤维胃镜', '血液酸碱度（pH）', '胃镜', '血液电解质检查', '纤维结肠镜检查', '血液生化六项检查', '血常规', '剖腹探查', '气钡双对比造影', '腹部平片']"
儿童腺样体肥大,['耳鼻咽喉CT检查']
广州管圆线虫病,"['胸部CT检查', '颅脑MRI检查', '颅脑CT检查', '酶联免疫吸附试验']"
弯曲菌肠炎,"['粪便显微镜检查', '直接涂片检查', '细菌学检验', '被动血凝测定']"
小儿胃结块症,"['血液电解质检查', '腹部透视', '胃镜', '血液酸碱度（pH）', '血常规', '便常规', '尿常规', '腹腔穿刺']"
盆腔肿瘤,"['妇科超声检查', '追踪减影透视']"
龟分枝杆菌感染,"['硝酸盐还原试验', '真菌组织病理学', '皮肤涂片显微镜检查']"
小儿无甲状腺性克汀病,"['甲状腺131碘吸收率', '血清总甲状腺素（TT4）', '胸部平片', '心电图', '甲状腺球蛋白', '维生素D', 'TRH兴奋TSH、PRL试验', '甲状腺B型超声检查']"
膝关节损伤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '膝侧向运动试验', '交锁征', '半蹲试验', '麦克马瑞试验', '莱切曼试验', '关节腔液检查']"
新生儿中毒性红斑,"['免疫病理检查', '细胞组织化学染色', '皮损', '白细胞分类计数']"
小儿无菌性脑膜炎综合征,"['脑脊液细胞计数（CST）', '脑脊液细胞学检查', '尿常规', '颅脑超声检查', '颅脑CT检查', '血常规', '便常规']"
小儿多发性内分泌腺瘤Ⅱ型,"['生长激素', '激发试验', '血液检查']"
小儿无脾综合征,"['脾脏超声检查', '心电图', '血液检查', '腹部平片', '腹部透视', '造影检查']"
龟头炎,"['涂片', '免疫病理检查', '皮损']"
皮肤肿瘤,"['皮肤病的物理检查', 'CT检查', '血常规']"
小儿肥胖通气不良综合征,"['肺功能检查', '心电图', '氧分压', '胰岛素', 'CT检查']"
视网膜震荡,"['眼科检查', '眼底镜检查法', '眼底荧光血管造影']"
小儿戊型病毒性肝炎,"['血清免疫球蛋白G（IgG）', '血清免疫球蛋白M（IgM）', '尿常规', '脾脏超声检查', '抗戊型肝炎病毒抗体', '血常规', '便常规', '肝脏超声检查']"
心源性休克,"['尿常规', '心电图', '尿渗透压', '眼底检查', '乙醇凝胶试验', '肾血流量（RPF）', '多普勒超声心动图', '心血管造影', '冠状动脉造影', '血液电解质检查']"
腘动脉瘤,"['血管造影', 'CT检查', '四肢透视']"
脊柱关节炎,"['骨与关节MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片']"
小儿系统性红斑狼疮,"['抗Sm抗体', '抗SS-A(Ro)抗体', '抗核抗体(ANA)或抗核因子(ANF)', '狼疮带试验', '血清免疫球蛋白测定', '循环免疫复合物', '尿常规', '血常规']"
氨基酸代谢病,"['赖氨酸', '脑电图检查', '便常规', '脯氨酸', '血清酪氨酸', '精氨酸']"
腘动脉破裂,"['四肢CT检查', '血管造影', '全身软组织MRI检查', '血液检查']"
夜惊,['神经系统检查']
B链球菌群感染,"['抗链球菌激酶试验', '抗溶血性链球菌“O”试验', '血常规']"
过度通气综合征,"['脉搏', '心电图', '动脉血气分析']"
小儿斜视,"['眼科检查', '眼球运动检查', '眼位检查法']"
小儿细胞外胆固醇沉着综合征,"['皮疹', '血清免疫球蛋白测定', '尿氨基酸氮', '尿常规', '脾脏超声检查', '血常规', '便常规', '肝脏超声检查']"
巴斯德菌肺炎,"['肺部检查', '痰液细菌培养', '胸腔积液检查']"
过敏性肉芽肿性血管炎相关巩膜炎,"['免疫病理检查', '涂片']"
席汉氏综合症,"['促黄体生成素LH', '生长激素', '促肾上腺皮质激素（ACTH）', '泌乳素（PRL）分泌抑制试验', '血浆游离皮质醇']"
半月板损伤,"['膝关节过伸试验', '骨与关节MRI检查', '站立位研磨试验', '四肢的骨和关节平片', '研磨试验', '夫欧契试验']"
过敏性血管炎和肉芽肿病,"['免疫病理检查', '细胞组织化学染色', '免疫学检测', '白细胞分类计数', '抗中性粒细胞胞浆']"
妊娠合并尖锐湿疣,"['妇科检查', '外阴部妇科常规检查', '妇科疾病的病毒检查']"
过敏性阴道炎,"['细胞组织化学染色', '免疫病理检查', '皮肤点刺试验', '涂片']"
扁平苔藓,"['皮疹', '细胞组织化学染色', '涂片', '皮损', '免疫病理检查']"
小儿细菌感染性口炎,"['特殊细菌涂片检查', '细菌的鉴定', '血常规', '涂片', '尿常规', '便常规']"
过敏性支气管肺曲霉病,"['胸部CT检查', '纤维支气管镜检查']"
系膜毛细血管性肾小球肾炎,"['肾脏CT检查', '尿常规', '血常规', '肾功能检查', '肾脏切片']"
HIV相关呼吸道感染,"['胸部CT检查', '一氧化碳']"
小儿细菌性痢疾,"['气钡双对比造影', '粪细菌培养', '腹部平片', '血常规', '便常规', '肠镜']"
胃出血,"['血液检查', '纤维胃镜检查', '上消化道X线钡餐', '聚合酶链反应技术', '胃肠道CT检查']"
便血,"['便常规', '血尿素', '乙状结肠镜检查', '直肠指检']"
小儿下腔静脉阻塞综合征,"['尿常规', 'CT检查', '血液检查', '深静脉通畅试验', '血常规', '肾脏CT检查', '静脉肾盂造影（IVP）', '放射性核素肾扫描', '血管造影', '血管彩超']"
Hughes-Stovin综合征,"['胸部透视', '胸部平片', '血液检查']"
肠病原性大肠埃希杆菌感染,"['白细胞分类计数', '粪便显微镜检查']"
癔症性失声,['耳鼻咽喉CT检查']
非火器性颅脑开放伤,"['脑血管造影', '腰椎穿刺', '颅骨透照试验', '白细胞分类计数', '颅脑CT检查']"
小儿下丘脑错构瘤,"['颅脑CT检查', '血常规', '脑电图检查', '便常规', '尿常规', '颅脑MRI检查']"
肠气囊肿,"['腹部平片', '腹部CT', '肠镜', '腹部血管超声检查', '内镜检查']"
噪声性聋,"['耳的一般检查法', '耳鼻咽喉CT检查', '听力检查']"
小儿先天性白细胞颗粒异常综合征,"['脑脊液常规检验（CSF）', '脑脊液细胞计数', '尿常规', '毛发', '脾脏超声检查', '脑电图检查', '骨髓象分析', '心电图', '便常规', '肝脏超声检查']"
肠侵袭性大肠埃希杆菌感染,"['肠道真菌病检测', '便常规', '粪便性状']"
海胆刺伤及海胆肉芽肿,"['细胞组织化学染色', '免疫病理检查', '浆细胞', '皮损', '涂片']"
妊娠合并巨细胞病毒感染,"['外阴部妇科常规检查', '妇科常规检查', '病毒感染免疫检测']"
系膜增生性肾小球肾炎,"['肾功能检查', '尿常规', '经皮肾镜检查', '血常规']"
小儿先天性胆总管囊肿,"['逆行胰胆管造影（ERCP）', '静脉胆道造影', '肝脏超声检查', '胆道造影', '直接胆红素', '尿淀粉酶', 'CT检查', '上消化道造影', '肠镜', '核磁共振成像(MRI)']"
肠系膜上动脉综合征,"['便常规', '十二指肠钡餐造影', '血管造影', '尿常规', '血常规']"
海洛因肾脏病,"['抗双链DNA抗体', '尿沉渣', '血液检查']"
小儿先天性肺囊肿,"['氧分压', '尿常规', '胸部平片', '支气管造影', '胸部MRI', '胸部CT检查', '心电图', '动脉血气分析', '血管造影', '支气管镜检查']"
咽结合膜热,"['眼科检查', '病毒感染免疫检测', '血常规']"
肠系膜上动脉血栓形成,"['红细胞比容', '腹部透视', '血管造影', '腹部CT']"
海绵状血管瘤血小板减少综合征,"['骨髓象分析', '心电图', '出血时间', '涂片']"
小儿先天性肝囊肿,"['补体结合试验', '尿常规', '腹腔镜', '血常规', '肝脏超声检查', '腹部平片', 'CT平扫']"
视网膜裂孔,"['眼科检查', '视网膜检影法']"
海鱼分枝杆菌感染,"['结核菌素试验（OT,PPD）', '免疫病理检查', '细胞组织化学染色', '皮损', '涂片']"
小儿先天性高氨血症,"['羊水细胞性染色质检查', '尿常规', '甘氨酸', '精氨酸', '脑电图检查', '血常规', '血葡萄糖', '酶学检查', 'CT检查']"
大网膜粘连综合征,"['十二指肠钡餐造影', '腹腔镜', '纤维结肠镜检查']"
足部骨折,['四肢的骨和关节平片']
寒冷性脂膜炎,"['免疫病理检查', '细胞组织化学染色', '涂片']"
小儿先天性睾丸发育不全,"['染色体', '羊水细胞培养染色体检查', '精液检查', '睾酮', '胸部平片', '心电图', '染色体核型分析', '血液生化六项检查', '睾丸活检']"
第一掌骨基部骨折,"['四肢与关节运动功能', '四肢的骨和关节平片']"
妊娠合并淋病,"['妇科炎症检查', '淋病细菌学检测', '妇科疾病的病毒检查']"
汉德-许勒尔-克思斯琴病,"['核磁共振成像(MRI)', '心电图', '浆细胞', '免疫病理检查', '细胞组织化学染色', 'CT检查']"
多发性一过性白点综合征,"['血清免疫球蛋白A（IgA）', '眼底荧光血管造影', '血清免疫球蛋白G（IgG）', '视野检查']"
小儿热带嗜酸性粒细胞增多症,"['皮肤试验', '胸部平片', '肺部检查', '周围血白细胞计数及分类检验']"
小儿先天性光敏感性卟啉症,"['粪便中的卟啉', '粪卟啉', '尿卟啉', '骨髓象分析', '血常规', '便常规', '尿常规', '骨髓各系细胞形态学检查']"
增殖型天疱疮,"['皮肤涂片显微镜检查', '皮肤病的物理检查']"
汉坦病毒肺综合征,"['汉坦病毒抗体（VH-Ab）', '部分凝血活酶时间', '血小板钙流测定', '异型淋巴细胞', '支气管镜检查']"
常现丝虫病,"['血常规', '血液检查']"
小儿先天性红细胞生成异常性贫血,"['维生素B1', '叶酸', '骨髓象分析', '红细胞寿命', '球形红细胞', '异常红细胞形态检查', '有核红细胞', '溶血试验', '血涂片', '骨髓各系细胞形态学检查']"
汗管棘皮瘤,"['免疫病理检查', '细胞组织化学染色', '皮损', '涂片']"
膀胱鳞状细胞癌,"['尿常规', '膀胱镜', '肿瘤标志物检测']"
小儿先天性肌强直综合征,"['磷酸肌酸激酶', '脑电图检查', '肌电图', '血常规', '心电图', '尿常规', '便常规']"
汗孔周围炎及多发性汗腺脓肿,"['皮损', '细胞组织化学染色', '免疫病理检查', '涂片']"
小儿先天性甲状腺功能减低症,"['甲状腺B型超声检查', '甲状腺静态显像', '甲状腺结合球蛋白（TBG）', '血浆促甲状腺激素释放激素(TRH)', '游离甲状腺素（FT4）', '血常规', '四肢的骨和关节平片', '便常规']"
阻生齿,['口腔X光片检查']
汗疱症,"['癣菌素试验', '棘层细胞松解征检查', '真菌检查', '细胞组织化学染色', '真菌组织病理学', '涂片']"
丛状血管瘤,"['血常规', '尿常规']"
小儿先天性面肌双瘫综合征,"['尿常规', '脑电图检查', '颅脑CT检查', '血常规', '便常规', '颅脑MRI检查', '神经系统检查']"
汗腺癌,"['肿瘤标志物检测', '细胞组织化学染色', '涂片', '免疫病理检查']"
小儿先天性肾病综合征,"['肾脏CT检查', '肾功能检查', '肾脏超声检查', '尿常规', '血常规', '羊水甲胎蛋白测定（AFP）', '肾脏切片', '便常规', '肾脏MRI检查']"
合并马蹄肾的腹主动脉瘤,"['静脉肾盂造影（IVP）', '腹部血管超声检查', '肿瘤标志物检测', '血管造影', '腹部CT']"
多发性硬化伴发的葡萄膜炎,"['风疹病毒抗体', '脑脊液IgG/白蛋白比值', '色觉', '酶联免疫吸附试验', '血管造影', '造影检查', '视野检查']"
小儿先天性肾上腺皮质增生症,"['肾上腺CT检查', '肾素活性', '睾酮', '促肾上腺皮质激素（ACTH）兴奋试验', '肾上腺皮质显像', '子宫输卵管造影', '胰岛素']"
妊娠合并梅毒,"['妇科疾病的病毒检查', '妇科超声检查', '梅毒定性试验', '梅毒确诊试验', '脐血流检查']"
合成树脂皮炎,"['免疫病理检查', '细胞组织化学染色', '皮损']"
多发内生软骨瘤病,['钼靶X线检查']
小儿阵发性心动过速,['心电图']
合成树脂与塑料所致的皮肤病,"['免疫病理检查', '细胞组织化学染色', '真菌组织病理学', '皮损', '涂片']"
大肠埃希杆菌肺炎,"['痰液病原体检查', '胸腔积液检查', '普通透视检查(透视)', '周围血白细胞计数及分类检验']"
阴道脱垂,['妇科超声检查']
细菌性皮肤病,"['血常规', '皮肤病的物理检查']"
小儿先天性肾盂输尿管连接部梗阻,"['肾功能检查', '肾图检查', '静脉尿路造影', '肾脏CT检查', '血常规', '尿常规', '膀胱造影', '膀胱镜', '肾脏超声检查']"
单纯性乳腺增生症,"['免疫病理检查', '细胞组织化学染色', '钼靶摄影检查', '涂片']"
小儿先天性外胚层发育不良综合征,"['皮肤病的物理检查', '抗表皮基底膜抗体', '皮肤涂片显微镜检查', '脊椎平片', '毛果芸香碱出汗试验', '血常规', '便常规', '尿常规', '四肢的骨和关节平片']"
妊娠合并沙眼衣原体感染,"['妇科疾病的病毒检查', '妇科超声检查', '妇科常规检查']"
小儿先天性斜颈,"['脊椎平片', '胸部平片', '头颅平片', '血常规', '便常规', '视力', '尿常规']"
低血糖综合征,"['胰高糖素激发试验', '肌电图', '胰岛素', '葡萄糖耐量试验', '空腹血葡萄糖', '血液生化六项检查', '腹部CT']"
下肢淋巴水肿,"['CT造影扫描', '皮肤病的物理检查']"
盖氏骨折,"['关节镜检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
小儿先天性直肠肛门畸形,"['肛门视诊', '肛门指检', '超声内镜检查', '便常规', '核磁共振成像(MRI)', 'CT检查', '血常规', '血液生化六项检查', '膀胱造影']"
视神经撕脱,"['眼科检查', '眼及眶区CT检查', '眼底检查']"
黑棘皮瘤,"['皮肤涂片显微镜检查', '免疫病理检查', '细胞组织化学染色', '皮损']"
慢性淋巴细胞白血病,"['鼠红细胞花环形成试验', '细胞膜表面免疫球蛋白测定', '血清锰（Mn）', '骨髓象分析', '间接抗人球蛋白试验', '血液生化六项检查', '周围血白细胞计数及分类检验']"
小儿先天性侏儒痴呆综合征,"['国际标准智力测试', '血常规', '染色体', '内分泌功能试验', '胸部平片', '便常规', '多普勒超声心动图', '尿常规', '四肢的骨和关节平片']"
褶烂,['皮肤病的物理检查']
黑色丘疹性皮肤病,"['免疫病理检查', '细胞组织化学染色', '皮损', '涂片']"
白细胞葡萄糖-6-磷酸脱氢酶缺乏症,"['中性粒细胞杀菌试验', '白细胞数', '血常规']"
中毒性细菌性痢疾,"['粪细菌培养', '粪气味', '痢疾杆菌检测', '便常规']"
小儿先天性主动脉瓣狭窄,"['心电图', '造影检查', '心脏血管超声检查', '多普勒超声心动图', '胸部CT检查', '胸部平片', '心血管造影', '收缩压', '胸部MRI']"
黑癣,"['直接涂片检查', '真菌检查', '细胞组织化学染色', '真菌组织病理学']"
白塞病伴发的精神障碍,"['血液检查', '免疫学检测', '颅脑MRI检查', '眼科检查']"
声带小结,['耳鼻咽喉CT检查']
亨廷顿病,"['肌电图', '颅脑CT检查', '颅脑MRI检查', '遗传筛查']"
迟发性皮肤卟啉病,"['皮疹', '粪卟啉', '尿卟啉原试验（UP）']"
妊娠合并生殖道沙眼衣原体感染,"['妇科常规检查', '妇科疾病的病毒检查', '妇科超声检查']"
亨廷顿病性痴呆,"['正电子发射计算机断层扫描(PET)', '颅脑CT检查', '颅脑MRI检查', '神经系统检查']"
小儿纤维性骨营养不良综合征,"['甲状腺B型超声检查', '血浆促甲状腺激素释放激素(TRH)', '血常规', '99Tmc-MIBI甲状腺显像', 'CT检查', '便常规', '尿常规', '核磁共振成像(MRI)']"
淀粉样变病的胃肠道表现,"['胃钡餐造影', '血常规', '免疫电泳', '肠镜', '内镜检查']"
横位难产,"['产科B超', '阴道妇科常规检查', '腹部外形触诊', 'Ⅱ级产前超声检查']"
小儿限制型心肌病,"['心电图', '二维超声心动图', '胸部平片', '胸部透视', '骨髓有核细胞计数', '骨髓各系细胞形态学检查', '胸部CT检查', '血常规', '胸部MRI', '尿常规']"
高尿酸血症肾病,"['CT检查', '血液检查', '血清尿酸', '浆细胞', '血尿酸']"
先天性并指多指畸形,['四肢的骨和关节平片']
红细胞生成性原卟啉病,"['粪卟啉', '皮损']"
食物过敏性哮喘,"['肺通气功能', '皮内试验']"
隐匿型冠状动脉粥样硬化性心脏病,"['多普勒超声心动图', '心电图', '平衡法放射性核素心血管造影(ERNA)']"
红细胞增多症视网膜病变,"['颅脑CT检查', '眼底检查', '颅脑MRI检查']"
薄肾小球基底膜病,"['血常规', '血小板计数（PLT）']"
小儿中耳炎,"['耳鼻咽喉CT检查', '耳的一般检查法', '表试验', '耳镜检查法', '耳、鼻、咽拭子细菌培养']"
红细胞增多症眼底,"['颅脑CT检查', '眼底检查', '血常规', '颅脑MRI检查']"
小儿腺病毒性肺炎,"['肺部检查', '胸部平片', '痰液的一般性状检查', '脑脊液常规检验（CSF）', '尿常规', '心电图', '脉搏']"
皮脂腺异位症,"['皮肤涂片显微镜检查', '皮肤病的物理检查']"
创伤性心源性溶血性贫血,"['心脏血管超声检查', '血液生化六项检查', '球形红细胞', '心电图', '胸部透视']"
子宫肉瘤,"['子宫输卵管造影', '妇科超声检查', '妇科常规检查', '子宫内膜活检']"
短膜壳绦虫病,"['便常规', '血常规', '尿常规', '粪便显微镜检查', '粪便寄生虫']"
红癣,"['真菌检查', '免疫病理检查', '皮损', '涂片', '细胞组织化学染色']"
小儿腺苷脱氨酶缺乏,"['血清免疫球蛋白测定', '胸部平片', 'CT检查', '羊膜穿刺术', '血常规', '脑电图检查', '尿常规', '四肢的骨和关节平片', '便常规']"
胆石性肠梗阻,"['钼靶X线检查', '胆道系统特殊检查和护理']"
妊娠合并生殖器疱疹,"['妇科疾病的病毒检查', '生殖器疱疹检测']"
虹膜角膜内皮综合征,"['前房角镜检查法', '角膜显微镜', '裂隙灯']"
小儿消化道出血,"['粪便隐血试验(OBT)', '凝血时间', '纤维结肠镜检查', '血常规', '便常规', '骨髓各系细胞形态学检查', '胃泌素', '内镜检查', '骨髓象分析', '胃钡餐造影']"
视神经疾病,"['眼科检查', '视神经检查']"
穿透性角膜移植术所致青光眼,"['眼科检查', '视力', '视野检查']"
虹膜新生血管,"['眼底检查', '病理反射检查', '裂隙灯', '虹膜检查法']"
小儿心搏呼吸骤停与心肺复苏术,['颈动脉搏动检查']
腹股沟直疝,"['腹部平片', '腹部MRI检查', '尿常规', '血常规', '腹部CT']"
真菌性甲沟炎,"['皮肤真菌镜检', '血常规']"
小儿心房颤动,"['心电图', '多普勒超声心动图', '胸部MRI', '胸部平片', '胸部CT检查']"
髌腱断裂,['钼靶X线检查']
髌骨不稳定,['CT检查']
喉返神经损伤,"['耳鼻咽喉CT检查', '神经系统检查', '颈部MRI检查']"
鼻红粒病,"['免疫病理检查', '皮损', '涂片', '细胞组织化学染色']"
后壁穿孔性溃疡,"['腹部CT', '腹部透视', '胃钡餐造影']"
小儿心房扑动,"['胸部平片', '胸部透视', '心电图', '多普勒超声心动图', '血常规', '尿常规', '胸部CT检查', '便常规', '胸部MRI']"
婴幼儿化脓性淋巴结炎,['血常规']
尺桡骨骨干双骨折,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '四肢与关节运动功能']"
后部多形性角膜营养不良,"['虹膜检查法', '遗传筛查', '角膜检查']"
小儿心肌炎,"['多普勒超声心动图', '血清乳酸脱氢酶（LDH）', '胸部透视', '胸部CT检查', '血清肌酸激酶', '血清肌酸激酶同工酶（CKI）', '血清肌酸激酶同工酶', '血清α-羟丁酸脱氢酶（α-HBDH）', '心电图', '血清谷草转氨酶']"
妊娠合并心脏病,"['心电图', '多普勒超声心动图', 'NST试验']"
后发性白内障,"['视力', '裂隙灯', '角膜检查', '视野检查', '视网膜检影法']"
小儿心力衰竭,"['二维超声心动图', '血清肌酸激酶同工酶', '血清肌酸激酶同工酶（CKI）', '心电图', '氧分压', '肾功能检查', '多普勒超声心动图', '血常规', '尿常规', '血液电解质检查']"
自身免疫性肝病,['肝脏疾病超声诊断']
后十字韧带损伤,"['关节检查', '抽屉试验', '骨与关节MRI检查']"
小儿心律失常,"['多普勒超声心动图', '胸部平片', '动态心电图（Holter监测）', '胸部透视', '心电图', '胸部CT检查', '胸部MRI']"
小角膜,['眼科检查']
后天性大疱性表皮松解,"['B因子', '酶联免疫吸附试验', '皮损', '凝集实验']"
葡萄膜病,"['眼科检查', '眼底检查']"
胡桃夹食管,"['食道X线钡餐检查', '食管压力测定', '胃镜', '食管造影']"
成人T细胞白血病,"['酸性磷酸酶染色', '遗传筛查', '白细胞分类计数', '胸部平片', '胸部B超', '骨髓象分析', '血液生化六项检查']"
