disease_name,nutrition_do_eat,nutrition_not_eat,nutrition_recommend_eat
急性髓细胞白血病,"['葵花子仁', '白果（干）', '黑豆', '赤小豆']","['干腌菜', '啤酒', '白酒', '鸡肝']","['木耳豆腐丁', '烧豆腐丸汤', '鸡肉白薯粥', '砂锅鸡肉冬瓜汤', '萝卜牛肉蒸饺', '黄芪牛肉粥', '花生焖腐竹', '香芹拌腐竹']"
小儿预激综合征,,,
血液病,"['鸡心', '鹅肉', '芝麻', '南瓜子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']","['拔丝白果', '白果莲子粥', '豆腐番茄鱼片牛肉汤', '山药桂圆粥', '花生山药粥', '南瓜粥', '番茄白果']"
急性特发性心包炎,,,
恶性小汗腺汗孔瘤,,,
裂纹舌,"['鸡心', '鹅肉', '芝麻', '南瓜子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']","['山药桂圆粥', '山药芡实瘦肉粥', '山药炖羊肚', '小米素羹', '白菜小米卷']"
急性妄想发作,,,
鄂木斯克出血热,,,
小儿原发型肺结核,,,
骨折不愈合,"['鸡心', '鹅肉', '南瓜子仁', '葵花子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']",['猪骨汤']
急性右侧心力衰竭,"['芝麻', '葵花子仁', '白果（干）', '黑豆']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['小米素羹', '豆薯小米粥', '苹果派', '苹果粥', '黑豆莲藕鸡汤', '芝麻黑豆粥', '炒胡萝卜', '蘑菇胡萝卜拌饭']"
颚口线虫病,,,
小儿原发性膀胱输尿管反流,,,
肾萎缩,"['鸡心', '鹅肉', '芝麻', '南瓜子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']","['土豆泥牛奶粥', '牛奶绿菜花', '番茄鸡蛋煎饼', '阿胶鸡蛋汤', '小白菜馅包子', '锅塌肉末白菜', '山药葡萄粥', '山药哈密瓜饺']"
耳鼻咽喉创伤,"['芝麻', '杏仁', '核桃', '青豆']","['鹿肉', '啤酒', '白酒', '鸡肝']","['小米素羹', '小米红糖粥', '鹌鹑蛋小米羹', '小米鹌鹑汤', '玉米粉燕麦粥', '燕麦粳米粥', '绿豆南瓜汤', '米粉蒸南瓜']"
急性杂合性白血病,,,
小儿原发性腹膜炎,,,
胆囊息肉样病变,"['鸡心', '鹅肉', '南瓜子仁', '葵花子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']","['苋菜鱼头豆腐汤', '萝卜豆腐汤']"
分水岭区脑梗死,"['芝麻', '杏仁', '核桃', '青豆']","['鹿肉', '白酒', '杏仁', '羊油']","['小米素羹', '豆薯小米粥', '扁豆小米粥', '玉米面蒸饺', '冬瓜玉米面粥', '山楂荞麦饼', '山楂桑椹粥', '淡菜汤']"
急性早幼粒细胞白血病,,,
小儿原发性甲状旁腺功能亢进症,,,
脑炎后遗症,"['鸡心', '鹅肉', '南瓜子仁', '葵花子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']","['核桃鸡', '核桃仁粥', '核桃鸡丁', '核桃仁粥', '土豆泥牛奶粥', '牛奶杏仁粥', '鸡蛋木耳粥', '鸡蛋家常饼']"
二糖酶缺乏症,,,
小儿原发性免疫缺陷病,,,
黑头粉刺痣,"['鸡心', '鹅肉', '南瓜子仁', '葵花子仁']","['鸭蛋', '鸭肉', '螃蟹', '龙虾']","['芦荟苹果汁', '三丝拌芦荟']"
急性脂肪皮肤硬化症,,,
小儿原发性脑干损伤,"['鸡肉', '腰果', '花生', '核桃']","['油豆腐', '绿豆', '赤小豆', '田螺']","['奶油菜花色拉', '油炸菜花', '炸菜花', '香菇烧菜花']"
妇科炎症,"['鸡蛋', '鸡心', '鸡肉', '鹅肉']","['白酒', '鸭蛋', '鸭肉', '蟹肉']","['素炒菠菜', '牛奶菠菜粥', '菠菜豆腐汤', '番茄菠菜拌肉丝', '菠菜蛋汤', '鸡胸肉拌菠菜', '芦笋青椒番茄汁', '木耳芦笋蘑菇汤']"
Fuchs角膜内皮营养不良,,,
急性左侧心力衰竭,"['芝麻', '葵花子仁', '白果（干）', '绿豆']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['素炒菠菜', '菠菜豆腐汤', '小白菜猪肉饺', '小白菜馅包子', '苦瓜瘦肉汤', '苦瓜水饺', '芝麻黑豆粥', '黑豆腐皮汤']"
反应性组织细胞增多症,,,
肾病,"['鹅肉', '黑豆', '武昌鱼', '鳝鱼']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['温养脾胃带鱼汤', '鲜味带鱼', '素炒菠菜', '菠菜豆腐汤', '菠菜肉丝汤面', '核桃肉粉', '冰糖核桃仁糊', '莲子红豆沙']"
疾病恐怖,,,
非淋球菌性细菌性关节炎,,,
小儿原发性血小板增多症,,,
急慢性肝炎,"['鸭翅', '鸡心', '鸡肉', '鸡肝']","['鸭蛋', '鸭肉', '腐竹', '螃蟹']","['鸡肉冬菜饼', '鸡肉白薯粥', '鸡肉蒸饺', '紫菜芙蓉汤', '紫菜鸡蛋莲草汤', '紫菜豆腐肉片汤', '蘑菇木耳饺', '鸡蛋木耳粥']"
棘阿米巴性巩膜炎,,,
非特异性系统性坏死性小血管炎,"['芝麻', '杏仁', '核桃', '青豆']","['鹿肉', '干腌菜', '啤酒', '白酒']","['海带粳米粥', '腐竹拌海带丝', '粉丝拌海带丝', '黄瓜紫菜汤', '砂锅紫菜汤', '木耳豆腐丁', '木耳大枣粥', '豆腐烧油菜']"
脑癌,"['鹿肉', '鸡心', '鹅肉', '芝麻']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['芹菜牛肉粥', '炖五香牛肉', '鲫鱼砂仁羹', '干烧活鲫鱼', '炒芹菜', '凉拌芹菜叶', '芝麻桃仁粥', '芝麻小米粥']"
小儿远端肾小管酸中毒,,,
棘阿米巴性角膜炎,,,
肥大性骨关节病,"['核桃', '青豆', '绿豆', '黄豆粉']","['鹿肉', '啤酒', '白酒', '鸡肝']","['花样果肉薏米粥', '香菇薏米饭', '薏米莲子粥', '山药薏米红枣粥', '薏米豆腐羹', '百合薏米绿豆粥', '木瓜胡萝卜玉米粥', '木瓜蛋奶汁']"
小儿月经过多,,,
粉刺样痣,"['核桃', '青豆', '绿豆', '黄豆粉']","['鹿肉', '啤酒', '白酒', '鸡肝']","['白萝卜油菜汁', '桃仁油菜', '芝麻油菜', '板栗烧白菜', '白菜丸子汤', '黄豆莲藕排骨汤', '百合雪梨莲藕汤', '蛋蓉菜花汤']"
风湿病性贫血,"['核桃', '青豆', '绿豆', '黄豆粉']","['鹿肉', '啤酒', '白酒', '鸭肉']","['猪肝菠菜粥', '腐竹猪肝粥', '枸杞叶猪肝汤', '猪血粥', '木耳猪血汤', '黄豆芽猪血汤', '牛奶香蕉糊', '牛奶蒸蛋']"
肛肠疾病,"['鹿肉', '鸡心', '鹅肉', '芝麻']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['素炒菠菜', '清炖木耳香菇', '西米香蕉羹', '蛤蜊炖蛋']"
棘球蚴病,,,
腹壁纤维肉瘤,"['核桃', '青豆', '绿豆', '黄豆粉']","['鹿肉', '鸡肝', '杏仁', '虾皮']","['肉片柿子汤', '羊肉炖柿子', '黄瓜粳米粥', '薏米扁豆老黄瓜汤', '黄瓜片汤', '竹蔗胡萝卜猪骨汤', '青胡萝卜排骨汤', '木瓜胡萝卜玉米粥']"
小儿阅读障碍,,,
宫颈疾病,"['鹿肉', '鸡蛋', '鹌鹑蛋', '鸡心']","['鸭蛋', '鸭肉', '白扁豆', '咸鱼']","['首乌鸡蛋汤', '甲鱼杞子女贞汤', '山药烧甲鱼', '花豆腐生菜瘦肉汤', '韭菜鲫鱼汤', '平菇豆腐汤', '荠菜肉丝豆腐羹', '海带炖豆腐']"
棘上韧带损伤,"['葵花子仁', '白果（干）', '黑豆', '赤小豆']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['鲜百合冬菇西兰花汤', '蘑菇木耳西兰花腐竹汤', '菠菜双蛋羹', '菠菜豆腐汤', '素炒小白菜', '香菇扒小白菜', '苦瓜瘦肉汤', '苦瓜水饺']"
腹部大血管损伤,"['黑芝麻', '核桃', '青豆', '绿豆']","['鹿肉', '干腌菜', '啤酒', '白酒']","['绿豆南瓜汤', '南瓜蒸菜', '红枣山药炖南瓜', '黑芝麻甜奶粥', '黑芝麻红枣粥', '黑芝麻山药羹', '蜜枣桂圆粥', '白果百合炒桂圆']"
小儿再发性腹痛,,,
集聚肠杆菌感染,,,
小儿再发性呕吐,,,
小儿再生障碍性贫血,,,
己糖激酶缺乏症,,,
小儿早老症,,,
腹膜后纤维化,"['鸡蛋', '核桃', '青豆', '绿豆']","['鹿肉', '啤酒', '白酒', '鸡肝']","['小米素羹', '鲜菇小米粥', '小米枣仁粥', '牛奶菠菜粥', '牛奶蒸蛋', '牛奶大枣汤', '鸡汤面条', '绿豆杂面条']"
挤奶者结节,,,
呼吸疾病,"['鹿肉', '鸡心', '鸡肉', '鹅肉']","['鸭蛋', '鸭肉', '杏仁', '白扁豆']","['鸡肉冬菜饼', '日式鸡肉泡粥', '鸡肉竹笋汤', '香菜莲藕饺', '黑豆莲藕鸡汤', '土豆莲藕汁', '鲜百合冬菇西兰花汤', '虾胶西兰花']"
小儿粘连性肠梗阻,"['蜂蜜', '鸡蛋', '鸡肉', '腰果']","['啤酒', '白酒', '油豆腐', '绿豆']","['牛奶麦片蜜枣粥', '牛奶大枣汤', '牛奶窝蛋莲子汤', '牛奶菠菜粥', '牛奶香蕉糊', '猕猴桃香蕉奶酪汁', '西芹油菜牛奶汁', '炖奶汤鲫鱼萝卜丝']"
脊膜膨出与脊膜脊髓膨出,,,
小儿真菌感染性口炎,,,
脊髓海绵状血管瘤,,,
脊髓后动脉缺血症候群,,,
腹膜转移癌,"['鸡蛋', '鸡肉', '花生', '核桃']","['鹿肉', '啤酒', '白酒', '鸡肝']","['牛肉萝卜白米粥', '蔬香牛肉羹', '猪肉豆腐煲', '猪肉青菜粥', '猪肉焖板栗', '鸡蛋木耳粥', '鸡蛋面丝汤', '山药牛蒡汁']"
肺病,"['鹿肉', '鸡心', '鸡肝', '鹅肉']","['鸭蛋', '鸭肉', '白扁豆', '螃蟹']","['海带粳米粥', '海带瘦肉粥', '海带焖鲫鱼', '红烧酿草鱼', '核桃草鱼火锅', '红豆莲藕粥', '泡莲藕', '木瓜粥']"
小儿真菌性肺炎,,,
脊髓内出血,,,
小儿阵发性室上性心动过速,"['鸡蛋', '鸡肉', '腰果', '核桃']","['啤酒', '白酒', '油豆腐', '绿豆']","['豌豆瘦肉粥', '葱香豌豆汤', '鸡蛋木耳粥', '黄瓜木耳汤', '黑木耳粥', '桂圆黑豆粥', '小麦豆角粥', '小麦粥']"
腹腔肺吸虫病,"['黑芝麻', '核桃', '青豆', '绿豆']","['鹿肉', '啤酒', '白酒', '鸡肝']","['黑芝麻甜奶粥', '黑芝麻红枣粥', '黑芝麻山药羹', '香菇茯苓粥', '土茯苓黄芪猪骨汤', '茯苓莲子粥', '枸杞蒸蛋', '枸杞子粥']"
泌尿感染,"['鸭肝', '鸡心', '鸡肝', '鹅肉']","['鸭蛋', '鸭肉', '白扁豆', '螃蟹']","['清炖猪蹄膀', '猪蹄粥', '红烧猪蹄', '海带粳米粥', '荷叶粳米粥', '炝西兰花', '素炒西兰花', '清爽西兰花']"
小儿阵发性室性心动过速,"['鸡蛋', '鸡肉', '腰果', '核桃']","['油豆腐', '绿豆', '赤小豆', '田螺']","['牛奶菠菜粥', '菠菜芹菜粥', '苦瓜粥', '胡萝卜苦瓜汁', '苦瓜猪瘦肉汤', '桂圆粥', '青豆泥汤']"
高胡萝卜素血症,"['鸡蛋', '核桃', '青豆', '绿豆']","['鹿肉', '白酒', '鸡肝', '杏仁']","['菜肉馄饨', '猪肉青菜粥', '鸡蛋木耳粥', '酸奶银耳水果羹', '小米粉粥']"
脊髓内脓肿,,,
乳腺病,"['鸡心', '鹅肉', '南瓜子仁', '白果（干）']","['啤酒', '白酒', '鸭蛋', '鸭肉']","['五丝白菜卷', '白菜包子', '豆腐皮春卷', '八珍豆腐盒', '砂锅鱼头豆腐', '紫菜豆腐肉片汤', '海带粳米粥', '海带果菜汁']"
脊髓前动脉综合征,,,
革兰阳性球菌和革兰阴性杆菌性巩膜炎,"['芝麻', '花生', '核桃', '青豆']","['鹿肉', '啤酒', '白酒', '鸡肝']","['腐竹猪肝粥', '猪肝菠菜粥', '枸杞猪肝蛋花汤', '枸杞子粥', '木瓜胡萝卜玉米粥', '土豆胡萝卜汤', '熘胡萝卜丸子', '芝麻山药饼']"
小儿阵发性睡眠性血红蛋白尿症,,,
癌症,"['鸡心', '鹅肉', '南瓜子仁', '白果（干）']","['鸭蛋', '鸭肉', '白扁豆', '虾米']","['姜枣鲫鱼粥', '黄芪鲫鱼火锅', '粉蒸鲫鱼', '芦笋青椒番茄汁', '雪菜芦笋饺', '芦笋饺', '虾仁青豆炒饭', '番茄青豆汤']"
格斯特曼综合征,,,
脊髓前中央动脉缺血症候群,,,
小儿支气管肺发育不全,,,
牙科病,"['鸡心', '鹅肉', '白果（干）', '武昌鱼']","['啤酒', '白酒', '鸭蛋', '鸭肉']","['芹菜炒香菇', '番茄芹菜汁', '芹菜炒肉片', '菠菜芹菜粥', '蚝油菜鸽', '香菇油菜包', '香菇油菜面筋粥', '油菜丝炒面']"
脊髓缺血,,,
小儿支气管肺炎,"['鸡蛋', '鸡肉', '花生', '核桃']","['油豆腐', '赤小豆', '羊油', '田螺']","['菜花泥子汤', '猪肉青菜粥', '卷心菜菠萝汁', '菠菜豆腐汤', '双菇番茄黄瓜紫菜汤', '瑶柱生菜白菜汤', '菠菜双蛋羹', '雪菜肉末粥']"
男科病,"['红葡萄酒', '鸡心', '鹅肉', '白果（干）']","['啤酒', '白酒', '鸭蛋', '鸭肉']","['炒胡萝卜', '胡萝卜干贝羹', '胡萝卜芹菜粥', '番茄鸡蛋煎饼', '番茄炒牛肉', '黄豆芽排骨豆腐汤']"
小儿支气管扩张,,,
跟骨骨骺骨软骨病,"['鸭蛋', '鸡蛋', '鸽蛋', '芝麻']","['鹿肉', '啤酒', '白酒', '鸡肝']","['西式牛奶粥', '牛奶菠菜粥', '牛奶杏仁粥', '南瓜牛奶汁', '酸奶银耳水果羹', '酸奶煮羊排', '鸽蛋菜心粥', '燕窝鸽蛋汤']"
脑发育不良,"['鸡心', '鹅肉', '莲子', '白果（干）']","['啤酒', '白酒', '鸭蛋', '鸭肉']","['红烧带鱼', '清蒸带鱼', '海带粳米粥', '海带瘦肉粥', '卤味鲜海带', '荔枝汁', '荔枝炒丝瓜', '鱼香青豆']"
小儿支气管哮喘,"['鸡蛋', '鸡肉', '腰果', '青豆']","['赤小豆', '田螺', '海蜇头', '海蟹']","['五丝白菜卷', '猪肉青菜粥', '蔬菜杂烩粥', '菠菜双蛋羹', '卷心菜菠萝汁', '白菜蛋花粥', '冰糖绿豆苋菜粥', '双菇番茄黄瓜紫菜汤']"
更年期角化症,,,
妇科综合,"['鸭肉', '鸡心', '鹅肉', '芝麻']","['啤酒', '白酒', '鸭蛋', '鸭肉']","['牛奶菠菜粥', '菠菜豆腐汤', '花生菠菜粥', '花生豆奶', '花生芝麻糊', '花生杏仁粥', '百合绿豆沙羹', '百合花鸡蛋羹']"
小儿脂肪吸收不良,,,
口腔疾病,"['蜂蜜', '鹌鹑蛋', '鸡心', '鹅肉']","['白砂糖', '啤酒', '白酒', '鸭蛋']","['清蒸鲫鱼', '滋补鲫鱼煲', '干烧活鲫鱼', '双菇鲫鱼汤', '鲫鱼炖猪爪', '豆腐鲫鱼', '鲫鱼平菇汤', '麦冬山楂炖甲鱼']"
肱骨上端骨骺分离,"['鸭蛋', '鸡蛋', '核桃', '白果（鲜）']","['鹿肉', '鸡肝', '杏仁', '虾皮']","['当归羊肉羹', '当归沙参乌鸡汤', '当归粥', '当归花草汤', '当归猪心汤', '清蒸葡萄枸杞子', '枸杞子粥', '萝卜豆腐汤']"
脊髓刃器伤,,,
小儿直肠脱垂,,,
骨病,"['鸭肝', '鸡心', '鸡肝', '鹅肉']","['鸭蛋', '鸭肉', '白扁豆', '螃蟹']","['鲜熘鸭肝', '芝麻鸭肝', '素炒菠菜', '菠菜羹', '菠菜粥', '荠菜粥', '拌荠菜', '绿豆粥']"
阿米巴痢疾,"['莲子', '花生', '青豆', '黑豆']","['干腌菜', '鸭血(白鸭)', '绿豆', '田螺']","['藕粉鸽蛋羹', '蒲公英粥', '山药桂圆粥', '花生山药粥', '鳗鱼山药饭', '胡萝卜苹果汁', '土豆胡萝卜汤', '小米鱼肚羹']"
脊髓神经鞘瘤,,,
小儿指甲-髌骨综合征,,,
脊髓栓系综合征,,,
小儿致心律失常性右室心肌病,,,
股骨髁上骨折,"['乌骨鸡', '莲子', '花生', '青豆']","['啤酒', '白酒', '鸭血(白鸭)', '绿豆']","['豆腐皮春卷', '砂锅鱼头豆腐', '丝瓜豆腐瘦肉汤', '腐竹白果粥', '芹菜拌腐竹', '白萝卜炖猪排骨', '蘑菇猪瘦肉汤', '竹蔗胡萝卜猪骨汤']"
妇科病,"['鹌鹑蛋', '鸡心', '鸡肉', '鸡肝']","['白酒', '鸭蛋', '鸭肉', '白扁豆']","['菠菜汤', '菠菜色拉', '番茄菠菜拌肉丝', '木耳豆腐丁', '海带炖豆腐', '砂锅豆腐汤', '芦笋蛋饼', '芦笋玉米番茄汤']"
脊髓性肌萎缩,,,
小儿中毒型痢疾,,,
股骨头骨折,"['鸡蛋', '莲子', '花生', '青豆']","['啤酒', '白酒', '鸭血(白鸭)', '绿豆']","['鸡蛋木耳粥', '鸡蛋芹菜炒饭', '鲜蘑菇豆腐汤', '砂锅豆腐汤', '香芹拌腐竹', '腐竹鲜蘑', '西葫芦饺', '西葫芦盅']"
肿瘤,"['鸡心', '鸡肝', '鹅肉', '腰果']","['白酒', '鸭蛋', '鸭肉', '芝麻']","['牛肉汉堡包', '番茄冲菜牛肉丸汤', '酱牛肉', '玉米笋饺', '香甜玉米饼', '春笋鸡片', '酱汁春笋', '油焖春笋']"
脊柱脊髓损伤,"['芝麻', '松子仁', '葵花子仁', '核桃']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['牛奶菠菜粥', '菠菜双蛋羹', '香菇扒小白菜', '小白菜猪肉饺', '苦瓜瘦肉汤', '苦瓜水饺', '银耳拌山楂', '红枣银耳粥']"
小儿中暑和暑热症,"['鸡蛋', '鸡肉', '腰果', '莲子']","['赤小豆', '田螺', '螃蟹', '河蚌']","['山楂麦芽汤', '西瓜羹', '番茄西瓜汁', '西瓜汁', '西洋参大枣粥', '黄连白头翁粥', '茵陈淡竹叶粥', '莲子芡实粥']"
股骨转子间骨折,"['带鱼', '小白菜', '胡萝卜', '番茄']","['啤酒', '白酒', '鸭血(白鸭)', '绿豆']","['小米素羹', '小米粉粥', '鹌鹑蛋小米羹', '小米鹌鹑汤', '玉米粉燕麦粥', '燕麦粳米粥', '牛奶菠菜粥', '牛奶麦片粥']"
继发性单克隆免疫球蛋白病,,,
血管病,"['鸡心', '鹅肉', '南瓜子仁', '花生']","['啤酒', '黄酒', '鸭蛋', '鸭肉']","['炒胡萝卜', '白菜包子', '白菜小米卷', '花生豆奶', '花生芝麻糊', '黄瓜拌绿豆芽', '清炒绿豆芽', '小米素羹']"
小儿重症肌无力,,,
股神经干性痛,"['芝麻', '莲子', '花生', '青豆']","['鸭血(白鸭)', '绿豆', '田螺', '河蚌']","['红枣黑豆粥', '黑豆蛋粥', '黑豆鲤鱼汤', '芹菜黄瓜素肉汤', '芹菜红枣汤', '芋头芹菜粥', '芹菜粥', '菠菜芹菜粥']"
内分泌病,"['鸡心', '鹅肉', '芝麻', '腰果']","['鸭蛋', '鸭肉', '松子仁', '白扁豆']","['白菜清汤', '素炒小白菜', '鱼香油菜心', '油菜粥', '炝菜花', '青椒拌菜花', '凉拌菜花', '芝麻仁粥']"
继发性腹膜炎,"['葵花子仁', '白果（干）', '青豆', '绿豆']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['牛奶菠菜粥', '菠菜双蛋羹', '淡菜板豆腐白菜汤', '海米白菜汤', '苦瓜水饺', '苦瓜荠菜瘦肉汤', '银耳甜蛋汤', '酸奶银耳水果羹']"
小儿周期性低血钾性麻痹,,,
脊柱疾病,"['鸡心', '鸡肉', '鹅肉', '芝麻']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['草鱼豆腐', '竹筒蒸草鱼', '鸡肉冬菜饼', '鸡肉冬菇蒸饺', '鸡肉蒸饺', '猕猴桃西米粥', '水晶猕猴桃', '山药桂圆粥']"
小儿周期性高血钾性麻痹,,,
骨产道异常性难产,"['鸡蛋', '莲子', '花生', '黑芝麻']","['啤酒', '白酒', '鸭血(白鸭)', '绿豆']","['小米素羹', '小米红枣粥', '小米蛋奶粥', '百合花鸡蛋羹', '鱼肉鸡蛋汤', '黑芝麻红枣粥', '黑芝麻山药何首乌粉', '黑芝麻山药羹']"
脑病,"['鸡心', '鹅肉', '芝麻', '松子仁']","['鸭蛋', '鸭肉', '腐竹', '白扁豆']","['鲅鱼饺子', '西红柿炖鲅鱼', '菜花泥子汤', '菜花肉饼', '珍珠菜花汤', '红烧菜花', '芦笋饺', '芦笋胡萝卜汁']"
小儿周期性正常血钾性麻痹,,,
继发性骨髓纤维化,,,
骨恶性淋巴瘤,,,
小儿周围淋巴结结核,,,
遗传病,"['鸡心', '鹅肉', '杏仁', '南瓜子仁']","['鸭蛋', '鸭肉', '腐竹', '白扁豆']","['豆腐菜远牛肉汤', '赤小豆粥', '黑芝麻果仁粥', '菜花泥子汤', '冬笋炒毛豆']"
骨骺点状发育不良,,,
继发性红细胞增多症,,,
小儿皱梅腹综合征,,,
甲状腺疾病,"['鸡心', '鹅肉', '芝麻', '杏仁']","['鸭蛋', '鸭肉', '腐竹', '白扁豆']","['莲藕小豆猪胰汤', '淮山猪胰汤', '白菜海带丝', '萝卜海带']"
骨良性纤维组织细胞瘤,"['莲子', '花生', '青豆', '黑豆']","['鸭血(白鸭)', '绿豆', '田螺', '螃蟹']","['芹菜牛肉粥', '芋头芹菜粥', '芹菜红枣汤', '五香芹菜豆', '萝卜生菜汤', '木耳粥', '木耳红枣粥', '黑木耳芹菜粥']"
继发性化脓性腹膜炎,"['芝麻', '松子仁', '莲子', '葵花子仁']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['牛奶菠菜粥', '菠菜双蛋羹', '香菇扒小白菜', '小白菜猪肉饺', '苦瓜瘦肉汤', '苦瓜粥', '鲜奶核桃粥', '芝麻核桃蜜']"
小儿侏儒-视网膜萎缩-耳聋综合征,,,
牙病,,,
骨膜软骨瘤,"['芝麻叶', '芝麻', '莲子', '花生']","['猪脑', '猪肚', '羊骨', '香肠']","['小麦粥', '小麦豆角粥', '麦冬小麦粥', '山楂麦芽汤', '大麦豇豆粥', '南瓜大麦粥', '大麦汤', '毛豆荞麦粥']"
口腔病,"['鸡蛋', '鸡心', '鹅肉', '南瓜子仁']","['鸭蛋', '鸭肉', '白扁豆', '鲐鱼']","['紫菜鸡蛋汤', '鸡蛋家常饼', '百合双耳鸡蛋羹', '鸡蛋冰糖炖银耳', '芹菜炒鸡蛋', '玫瑰鸡蛋', '什锦鸡蛋面']"
骨纤维肉瘤,"['莲子', '花生', '白果（鲜）', '青豆']","['啤酒', '白酒', '鸭血(白鸭)', '绿豆']","['排骨汤面', '火腿海参木耳排骨汤', '粉排骨藕', '土豆泥牛奶粥', '牛奶鹑蛋', '牛奶蒸蛋', '玉米粉燕麦粥', '燕麦粳米粥']"
小儿珠蛋白生成障碍性贫血,,,
继发性皮肤CD30阳性大细胞淋巴瘤,,,
关节疼痛,"['鸡蛋', '鸡心', '鸡肉', '鹅肉']","['鸭蛋', '鸭肉', '白扁豆', '鲐鱼']","['五丝白菜卷', '小白菜馅包子', '白菜包子', '淡菜板豆腐白菜汤', '白菜小米卷', '椒盐白菜', '素炒小白菜', '油漆白菜']"
骨纤维异样增殖症,,,
继发性皮肤滤泡中心细胞性淋巴瘤,,,
咽喉痛,"['鸡蛋', '鸡心', '鸡肉', '鹅肉']","['鸭蛋', '鸭肉', '白扁豆', '鲐鱼']","['淡菜板豆腐白菜汤', '白菜粥', '牛奶菠菜粥', '鲫鱼菠菜豆腐汤', '紫菜鸡蛋汤', '牛奶麦片粥', '牛奶冬瓜', '山药葡萄粥']"
骨血管内皮细胞瘤,"['蜂蜜', '鸡蛋', '莲子', '花生']","['鸭血(白鸭)', '绿豆', '田螺', '河蚌']","['当归炖甲鱼', '甲鱼粥', '甲鱼百合红枣汤', '清炖甲鱼', '红烧甲鱼', '珍珠笋番茄蘑菇汤', '鲜蘑菇豆腐汤', '蘑菇冬瓜汤']"
小儿猪带绦虫病和囊虫病,,,
继发性痛经,"['葵花子仁', '白果（干）', '赤小豆', '白扁豆']","['干腌菜', '鸡肝', '腐竹', '白扁豆']","['素炒菠菜', '甘笋菠菜豆腐汤', '木瓜胡萝卜玉米粥', '胡萝卜苹果汁', '莲藕小豆猪胰汤', '翡翠莲藕片', '花生芝麻糊', '芝麻土豆']"
盆腔疾病,"['鹌鹑蛋', '鸡心', '鸡肉', '鹅肉']","['白酒', '鸭蛋', '鸭肉', '白扁豆']","['白菜炒干丝', '香菇扒白菜', '百合花鸡蛋羹', '鸡蛋面丝汤', '菠菜色拉', '苹果胡萝卜泥']"
小儿注意缺陷障碍,"['鸡蛋', '鸡肉', '腰果', '青豆']","['赤小豆', '田螺', '螃蟹', '河蚌']","['清炒油麦菜', '清炒木耳菜', '凉拌木耳菜', '空心菜瘦肉粥', '空心菜粥', '烫空心菜', '蛋花空心菜汤', '花豆腐生菜瘦肉汤']"
继发性系统性淀粉样变,,,
乳腺疾病,"['鸡心', '鹅肉', '松子仁', '核桃']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['冬菇木耳瘦肉汤', '鸡蛋木耳粥', '黄瓜木耳汤', '清炒木耳菜']"
小儿转移性骨肿瘤,,,
固定性斜视,"['蜂蜜', '莲子', '花生', '青豆']","['啤酒', '白酒', '鸭血(白鸭)', '绿豆']","['枸杞玉米羹', '枸杞乳鸽汤', '枸杞蒸蛋', '猪肝菠菜粥', '胡萝卜猪肝汤', '菠菜豆腐汤', '木耳豆腐丁', '豆腐泡金针云耳白菜汤']"
继发性血小板增多症,,,
支气管病,"['鹅肉', '白果（干）', '青豆', '武昌鱼']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['冬菜鸭肝汤', '苦瓜粥', '花生杏仁粥', '白果芥蓝', '苦瓜炒猪肝', '荠菜汤']"
小儿椎管内肿瘤,,,
腘血管陷迫综合征,,,
继发性粘连性蛛网膜炎,,,
继发于严重肝疾患的棘红细胞增多症,,,
神经类疾病,"['黑豆', '鳝鱼', '猪排骨(大排)', '牛肉（瘦）']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['桃仁油菜', '豆腐烧油菜', '雪菜芦笋饺', '炒胡萝卜', '苦瓜粥', '木瓜粥', '核桃肉粉', '番茄青豆汤']"
小儿锥体功能不良综合征,,,
耳病,"['鸡心', '鹅肉', '松子仁', '白果（干）']","['鸭蛋', '鸭肉', '杏仁', '腐竹']","['花生豆奶', '花生芝麻糊', '核桃酪', '香炸核桃鸡片', '紫菜芙蓉汤', '虾米茄段', '芹菜虾米', '黄花菜炒木耳']"
寒冷性红斑,,,
小儿紫斑湿疹综合征,,,
寄生虫妄想,,,
